id,type,dc\.identifier,inScheme,member,prefLabel,notation,topConceptOf,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/collection/quartaireeenheid/quartaireeenheid,http://www.w3.org/2004/02/skos/core#Collection,be.vlaanderen.bodemenondergrond.data.id.collection.quartaireeenheid.quartaireeenheid,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/!|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/#|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/$|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/?|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/A01|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/A|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/B|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/C|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/D01|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/D02|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/D03|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/D04|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/D1|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/D|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/E01|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/E02|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/E03|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/E04|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/E05|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/E06|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/E07|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/E08|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/E09|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/E10|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/E11|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/E12|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/E|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ES01|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ES02|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ES03|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ES04|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ES05|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ES06|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ES07|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ES08|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ES09|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ES10|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ES11|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ES12|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ES13|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F01|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F02|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F03|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F04|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F05|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F06|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F07|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F08|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F09|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F10|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F11|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F12|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F13|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F14|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F15|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F16|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F17|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F18|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F19|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F1|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F20|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F21|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F22|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F23|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F24|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F25|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F26|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F27|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F28|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F29|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F2|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F30|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F31|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F32|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F33|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F34|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F35|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F36|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F37|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F38|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F39|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F3|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F40|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F41|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F42|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F43|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F44|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F45|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F46|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F47|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F48|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F49|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F50|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F51|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F52|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/F|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/G|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Gb|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Gh|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Gk|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Gt|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Gv|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/H'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/H01|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/H02|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/H03|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/H04|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/H05|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/H06|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/H07|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/H08|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/H|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/HW01|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/HW02|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/K1|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/K2|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/K|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M01|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M02|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M03|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M04|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M05|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M06|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M07|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M08|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M09|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M10|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M11|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M12|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M13|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M14|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/M|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/N|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/O|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ON01|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/P|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Q|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/R|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Rb|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Rf|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Rh|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Ru|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/S'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/S|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/T01|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/T02|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/U|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/V'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/V01|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/V02|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/V03|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/V04|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/V05|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/V06|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/V1|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/V2|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/W1|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/W3|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/X11|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/X1|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/X2|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/X3|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/X4|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/X|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Y1|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Y2|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Y4|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Y|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Z3|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Z|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/a'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/a|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/b|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/c|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/c°|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/d1|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/d|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/e'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/e|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/f'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/f1|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/f2|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/f3|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/f|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/f°|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/g|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/grind|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/h'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/h|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/hoedje|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/hoedjeF|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/hoedjeH|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/hoedjeK|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/hoedjeQ|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/hoedjeW|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/i|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/j'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/j|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/k'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/k1|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/k2|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/k|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/l|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/m|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/n|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/o|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/p'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/p|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/q'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/q|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/t|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/u|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/v'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/v|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/vierkant_haakje|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/w'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/w|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/x'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/x|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/y'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/y|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/z|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/£|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/¥|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/¦|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/§|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/©|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/®|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/µ|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Á|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Æ|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Ç|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Ø|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/Þ|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ß|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/á|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/â|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/å|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/æ|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ç'|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ç|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/é|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ô|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/õ|https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/ÿ,Collectie van quartaireeenheid.,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/!,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.!,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null,Aanvulling,!,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/#,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.#,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null,Herwerkt tertiair,#,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/$,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.$,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null,Tertiair,$,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/?,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.?,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null,"Kleiig tot grindrijk facies (Maas en Rijn, Leut)",?,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/A,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.A,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null,Zandig facies,A,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/A01,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.A01,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null,"Aangebracht, antropogeen - /",A01,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/B,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.B,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null,"Holoceen, Pleistoceen continentaal alluvium",B,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/C,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.C,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null,Eemiaan continentaal,C,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/quartaireeenheid/D,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.D,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null,Weichseliaan  continentaal eolisch,D,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/quartaireeenheid,null
