uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:quartaireeenheid,skos:Collection,quartaireeenheid,,,Collectie van quartaireeenheid.,,,,,,,,,,,,,cs,quartaireeenheid,,,,,,
ct:!,skos:Concept,!,colt:quartaireeenheid,,Aanvulling,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:$,skos:Concept,$,colt:quartaireeenheid,,Tertiair,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:A,skos:Concept,A,colt:quartaireeenheid,,Zandig facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:B,skos:Concept,B,colt:quartaireeenheid,,"Holoceen, Pleistoceen continentaal alluvium",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:C,skos:Concept,C,colt:quartaireeenheid,,Eemiaan continentaal,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:D,skos:Concept,D,colt:quartaireeenheid,,Weichseliaan  continentaal eolisch,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:D1,skos:Concept,D1,colt:quartaireeenheid,,Zandige facies op kleiig facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:E,skos:Concept,E,colt:quartaireeenheid,,"Eemiaan, marien",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:F,skos:Concept,F,colt:quartaireeenheid,,"Weichseliaan, continentaal, fluviatiel, periglaciaal",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:F',skos:Concept,F',colt:quartaireeenheid,,Niet gedifferentieerd facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:F1,skos:Concept,F1,colt:quartaireeenheid,,"Weichseliaan, continentaal, fluviatiel, periglaciaal",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:F2,skos:Concept,F2,colt:quartaireeenheid,,"Weichseliaan, continentaal, fluviatiel, periglaciaal",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:F3,skos:Concept,F3,colt:quartaireeenheid,,"Weichseliaan, continentaal, fluviatiel, periglaciaal",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:G,skos:Concept,G,colt:quartaireeenheid,,"Weichseliaan, continentaal, niveo-eolisch, fluviatiel",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Gb,skos:Concept,Gb,colt:quartaireeenheid,,Beekbodemgrind,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Gh,skos:Concept,Gh,colt:quartaireeenheid,,Hellingsgrind,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Gk,skos:Concept,Gk,colt:quartaireeenheid,,Grind,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Gt,skos:Concept,Gt,colt:quartaireeenheid,,Grind,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Gv,skos:Concept,Gv,colt:quartaireeenheid,,Valleibodemgrind,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:H,skos:Concept,H,colt:quartaireeenheid,,Diachrone hellingsafzetting,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:H',skos:Concept,H',colt:quartaireeenheid,,Niet gedifferentieerd grofkorrelig facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:K,skos:Concept,K,colt:quartaireeenheid,,"Holoceen, continentaal alluvium",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:K1,skos:Concept,K1,colt:quartaireeenheid,,"Holoceen, continentaal alluvium",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:K2,skos:Concept,K2,colt:quartaireeenheid,,"Holoceen, continentaal alluvium",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:M,skos:Concept,M,colt:quartaireeenheid,,"Holoceen, marien",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:N,skos:Concept,N,colt:quartaireeenheid,,"Weichseliaan, continentaal, niveo-eolisch",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:O,skos:Concept,O,colt:quartaireeenheid,,"Niet gedifferentieerd klastisch facies, veen, mogelijks kalkgyttja",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
