uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
conceptscheme:quartaireeenheid,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.quartaireeenheid,,,Quartaire eenheden,,,,,,,,,,,,,,,,,,,,
collectie:quartaireeenheid,be.vlaanderen.bodemenondergrond.data.id.collection.quartaireeenheid.quartaireeenheid,,,Collectie van quartaireeenheid.,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,
!,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.!,collectie:quartaireeenheid,!,Aanvulling,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
$,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.$,collectie:quartaireeenheid,$,Tertiair,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
A,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.A,collectie:quartaireeenheid,A,Zandig facies,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
B,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.B,collectie:quartaireeenheid,B,"Holoceen, Pleistoceen continentaal alluvium",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
C,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.C,collectie:quartaireeenheid,C,Eemiaan continentaal,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
D,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.D,collectie:quartaireeenheid,D,Weichseliaan  continentaal eolisch,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
D1,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.D1,collectie:quartaireeenheid,D1,Zandige facies op kleiig facies,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
E,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.E,collectie:quartaireeenheid,E,"Eemiaan, marien",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
F,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.F,collectie:quartaireeenheid,F,"Weichseliaan, continentaal, fluviatiel, periglaciaal",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
F',be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.F',collectie:quartaireeenheid,F',Niet gedifferentieerd facies,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
F1,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.F1,collectie:quartaireeenheid,F1,"Weichseliaan, continentaal, fluviatiel, periglaciaal",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
F2,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.F2,collectie:quartaireeenheid,F2,"Weichseliaan, continentaal, fluviatiel, periglaciaal",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
F3,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.F3,collectie:quartaireeenheid,F3,"Weichseliaan, continentaal, fluviatiel, periglaciaal",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
G,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.G,collectie:quartaireeenheid,G,"Weichseliaan, continentaal, niveo-eolisch, fluviatiel",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
Gb,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.Gb,collectie:quartaireeenheid,Gb,Beekbodemgrind,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
Gh,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.Gh,collectie:quartaireeenheid,Gh,Hellingsgrind,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
Gk,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.Gk,collectie:quartaireeenheid,Gk,Grind,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
Gt,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.Gt,collectie:quartaireeenheid,Gt,Grind,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
Gv,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.Gv,collectie:quartaireeenheid,Gv,Valleibodemgrind,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
H,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.H,collectie:quartaireeenheid,H,Diachrone hellingsafzetting,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
H',be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.H',collectie:quartaireeenheid,H',Niet gedifferentieerd grofkorrelig facies,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
K,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.K,collectie:quartaireeenheid,K,"Holoceen, continentaal alluvium",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
K1,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.K1,collectie:quartaireeenheid,K1,"Holoceen, continentaal alluvium",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
K2,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.K2,collectie:quartaireeenheid,K2,"Holoceen, continentaal alluvium",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
M,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.M,collectie:quartaireeenheid,M,"Holoceen, marien",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
N,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.N,collectie:quartaireeenheid,N,"Weichseliaan, continentaal, niveo-eolisch",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
O,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.O,collectie:quartaireeenheid,O,"Niet gedifferentieerd klastisch facies, veen, mogelijks kalkgyttja",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
P,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.P,collectie:quartaireeenheid,P,Dominant zandige facies,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
Q,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.Q,collectie:quartaireeenheid,Q,Kwartair,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
R,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.R,collectie:quartaireeenheid,R,Diachroon,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
Rb,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.Rb,collectie:quartaireeenheid,Rb,Beekbodemgrind,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
Rf,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.Rf,collectie:quartaireeenheid,Rf,Grindrijk zand - puinwaaier,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
Rh,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.Rh,collectie:quartaireeenheid,Rh,Hellingsgrind,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
Ru,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.Ru,collectie:quartaireeenheid,Ru,Grind,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
S,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.S,collectie:quartaireeenheid,S,Saale afzettingen,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
S',be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.S',collectie:quartaireeenheid,S',Niet gedifferentieerd facies,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
U,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.U,collectie:quartaireeenheid,U,Onbekend,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
V',be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.V',collectie:quartaireeenheid,V',Venig complex,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
V1,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.V1,collectie:quartaireeenheid,V1,Veen op kleiig facies,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
V2,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.V2,collectie:quartaireeenheid,V2,Veen op zandig facies,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
W1,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.W1,collectie:quartaireeenheid,W1,Klei en/of zand over gehele sequentie en bedekt met eolische afzettingen,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
W3,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.W3,collectie:quartaireeenheid,W3,Klei en/of zand over de gehele sequentie en bedekt met eolische afzettingen,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
X,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.X,collectie:quartaireeenheid,X,"Saale, continentaal",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
X1,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.X1,collectie:quartaireeenheid,X1,Klei en/of zand over de gehele sequentie zonder veenlagen,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
X11,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.X11,collectie:quartaireeenheid,X11,"Klei en/of zand, geulopvulling over gehele sequentie",,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
X2,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.X2,collectie:quartaireeenheid,X2,Klei en/of zand met aan de basis het basisveen,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
X3,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.X3,collectie:quartaireeenheid,X3,Klei en/of zand over de gehele sequentie met aan het huidige oppervlak een dunne veenlaag,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
X4,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.X4,collectie:quartaireeenheid,X4,Klei en/of zand over de gehele sequentie met aan het huidige oppervlak een dunne veenlaag en aan de basis het basisveen,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
Y,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.Y,collectie:quartaireeenheid,Y,Pre-Saale continentaal,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
Y1,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.Y1,collectie:quartaireeenheid,Y1,Klei en/of zand met intercalaties van één of meerdere verlandingsvenen,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
Y2,be.vlaanderen.bodemenondergrond.data.id.concept.quartaireeenheid.Y2,collectie:quartaireeenheid,Y2,Klei en/of zand met intercalaties van één of meerdere verlandingsvenen en aan de basis het basisveen,,,,,,,,,,,,,conceptscheme:quartaireeenheid,,,,,,,conceptscheme:quartaireeenheid
